,0,1,2,3,4,5
59,2019-10-14,BGRIM,น.ส. คาโรลีนโมนิคมารีครีสตีน ลิงค์,"28,350,000",48.00,1.09
60,2019-10-14,BGRIM,บริษัท  ไทยประกันชีวิต จำกัด (มหาชน),"27,691,500",48.00,1.06
61,2019-10-14,BGRIM,บริษัท  เมืองไทยประกันชีวิต จำกัด (มหาชน),"25,508,900",48.00,0.98
62,2019-10-14,BGRIM,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"20,471,158",48.00,0.79
63,2019-10-14,BGRIM,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"20,448,401",48.00,0.78
64,2019-10-14,BH,บริษัท  กรุงเทพดุสิตเวชการ จำกัด (มหาชน),"181,660,706",124.00,24.92
65,2019-10-14,BH,บริษัท  กรุงเทพประกันภัย จำกัด (มหาชน),"106,760,417",124.00,14.65
66,2019-10-14,BH,UOB KAY HIAN (HONG KONG) LIMITED - Client Account,"61,509,565",124.00,8.44
67,2019-10-14,BH,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"60,738,011",124.00,8.33
68,2019-10-14,BH,บริษัท  วัฒนโสภณพนิช จำกัด,"26,138,875",124.00,3.59
69,2019-10-14,BH,สำนักงานประกันสังคม,"24,499,900",124.00,3.36
70,2019-10-14,BH,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"13,963,283",124.00,1.92
71,2019-10-14,BH,GIC PRIVATE LIMITED,"12,655,483",124.00,1.74
72,2019-10-14,BH,STATE STREET EUROPE LIMITED,"12,305,427",124.00,1.69
73,2019-10-14,BH,บริษัท  บริหารสินทรัพย์ทวี จำกัด,"11,381,614",124.00,1.56
74,2019-10-14,BJC,บริษัท  ทีซีซี คอร์ปอเรชั่น จำกัด,"2,675,730,550",51.25,66.80
75,2019-10-14,BJC,UBS AG SINGAPORE BRANCH,"222,000,000",51.25,5.54
76,2019-10-14,BJC,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"144,868,123",51.25,3.62
77,2019-10-14,BJC,DBS BANK LTD,"92,448,000",51.25,2.31
78,2019-10-14,BJC,กองทุนเปิด  บัวหลวงหุ้นระยะยาว,"68,735,750",51.25,1.72
79,2019-10-14,BJC,บริษัท  สหหมิงฮั้วพาณิชย์ จำกัด,"62,500,000",51.25,1.56
80,2019-10-14,BJC,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"38,736,629",51.25,0.97
81,2019-10-14,BJC,กองทุนเปิด  บัวหลวงหุ้นระยะยาว 75/25,"37,205,100",51.25,0.93
82,2019-10-14,BJC,สำนักงานประกันสังคม,"32,480,900",51.25,0.81
83,2019-10-14,BJC,THE BANK OF NEW YORK MELLON,"24,470,000",51.25,0.61
84,2019-10-14,BPP,บริษัท  บ้านปู จำกัด (มหาชน),"2,397,199,497",18.50,78.57
85,2019-10-14,BPP,กองทุนเปิด  บัวหลวงหุ้นระยะยาว,"47,489,500",18.50,1.56
86,2019-10-14,BPP,นาย วิทิต พงศ์พิโรดม,"22,150,001",18.50,0.73
